age,action,adventure,animation,childrens,comedy,crime,documentary,drama,fantasy,film_noir,horror,musical,mystery,romance,scifi,thriller,unknown,war,western
7,11.009,4.829,2.934,4.457,18.317,0.252,1.058,22.942,3.591,2.042,4.047,2.830,6.362,8.406,8.454,7.528,2.066,5.086,2.863
10,14.614,6.233,0.553,3.092,22.986,3.036,1.058,10.243,2.015,2.042,4.047,0.383,3.852,8.811,8.454,8.028,2.066,1.245,1.085
11,6.057,2.197,0.523,0.523,8.349,0.235,1.058,9.206,2.015,2.042,4.047,0.125,0.202,3.949,5.282,7.815,2.066,1.245,1.085
13,9.918,4.315,2.080,1.435,14.501,3.674,0.578,21.584,1.966,2.353,4.807,1.940,3.642,7.472,7.185,8.675,2.066,3.440,0.686
14,10.843,6.144,3.841,3.133,16.299,2.482,0.578,6.740,0.612,0.485,4.433,3.710,1.969,5.808,7.910,7.211,2.066,1.389,1.411
15,9.979,5.150,2.357,3.371,11.073,2.602,1.058,11.261,0.341,0.485,4.821,3.164,1.461,5.815,6.940,7.333,2.066,1.890,0.202
16,10.180,5.063,1.574,2.480,15.626,0.791,0.300,8.429,0.341,0.234,4.969,2.163,3.261,7.163,7.926,7.639,2.066,4.178,1.085
17,11.379,5.653,1.483,1.274,13.821,3.005,0.745,20.674,1.154,1.886,5.219,2.220,2.654,7.445,8.175,8.318,2.066,3.775,1.411
18,12.220,5.613,2.438,3.638,17.156,3.881,2.038,22.210,2.074,1.759,4.497,3.623,2.989,8.305,7.903,8.816,2.066,4.862,1.027
19,8.191,4.450,2.109,3.197,15.102,2.896,1.343,16.200,1.282,2.172,4.217,3.041,2.676,6.656,6.569,7.214,2.066,2.697,0.789
20,11.803,5.827,2.749,3.770,16.723,3.769,1.190,20.510,1.448,2.475,4.569,3.568,2.977,7.743,7.461,8.990,4.757,4.042,0.792
21,9.546,4.871,2.588,3.073,15.082,3.004,1.246,16.744,1.904,1.697,4.362,2.915,2.444,6.726,7.080,7.651,2.066,3.063,0.245
22,7.871,4.277,1.511,2.183,14.591,2.663,0.199,11.878,0.878,1.170,3.523,3.278,2.203,6.232,6.191,7.025,2.066,1.160,0.047
23,7.135,4.283,1.752,2.050,14.458,2.480,0.919,14.321,0.620,2.092,3.277,2.643,2.111,5.945,6.370,6.257,2.066,0.973,0.853
24,9.632,4.970,2.089,2.600,16.088,3.209,1.555,18.010,1.193,2.278,4.170,3.267,2.828,7.009,7.356,7.594,3.187,3.412,0.785
25,10.329,5.098,2.148,3.129,15.785,3.649,1.447,20.290,1.781,2.693,4.551,3.445,2.867,7.238,7.084,8.437,2.066,2.954,0.936
26,7.601,4.380,1.823,2.373,14.151,2.049,0.176,10.983,0.995,1.081,3.624,2.707,1.824,5.948,6.355,6.224,0.047,1.949,0.785
27,9.195,4.853,2.065,3.168,16.644,3.088,1.449,17.332,1.556,2.336,3.910,3.260,3.170,6.746,6.931,7.504,2.066,2.846,0.804
28,9.425,5.162,2.600,4.254,16.471,2.843,1.459,18.222,1.904,1.971,3.932,3.620,2.457,6.972,7.087,7.495,2.066,2.492,0.507
29,9.263,5.102,1.945,2.739,15.325,3.002,1.230,15.979,1.402,1.972,3.765,2.971,2.700,6.731,6.906,7.596,1.617,1.740,0.769
30,8.576,4.669,2.454,3.103,15.347,3.047,1.357,16.357,0.915,2.175,3.295,3.202,2.778,6.840,6.709,7.430,2.066,2.636,0.496
31,9.162,4.732,1.705,2.377,14.815,2.611,1.223,14.371,0.612,1.698,3.750,2.998,2.535,6.030,6.655,7.164,2.066,1.931,0.613
32,10.367,5.274,2.084,3.578,16.502,3.426,1.125,20.302,1.828,2.488,4.022,3.144,3.312,7.339,7.184,8.049,2.066,3.071,0.783
33,10.811,5.549,2.591,3.270,17.037,3.096,1.079,19.550,2.097,2.353,3.943,3.473,3.262,7.211,7.568,8.488,4.757,3.229,0.831
34,9.362,4.736,2.934,2.433,15.072,2.807,0.717,15.592,1.154,1.947,3.627,2.596,2.353,6.882,6.528,7.448,0.234,3.424,0.961
35,11.229,5.495,2.501,3.851,16.799,3.409,1.329,21.703,2.129,2.504,4.193,3.557,3.547,7.587,7.463,8.768,2.066,3.480,1.087
36,9.773,5.034,1.871,2.807,15.869,2.738,1.195,17.047,1.584,1.973,4.274,2.997,3.150,6.531,6.896,7.820,2.066,3.002,0.965
37,10.180,5.584,2.254,4.720,17.022,3.085,1.091,21.383,1.641,2.699,3.801,3.772,3.526,8.139,7.112,8.565,2.066,3.781,1.155
38,8.428,4.648,1.846,2.832,15.965,2.752,1.412,18.800,1.435,1.848,3.566,3.018,2.639,7.108,6.595,7.429,4.757,2.569,0.755
39,10.332,5.149,2.271,3.014,16.806,2.861,1.316,19.930,2.164,2.386,4.718,2.977,3.517,7.120,7.513,8.234,2.066,3.585,0.886
40,11.736,5.502,2.133,3.509,15.739,2.675,1.174,18.699,2.508,1.914,4.294,3.305,2.632,7.037,7.392,8.123,2.066,3.092,0.879
41,11.158,5.849,2.069,3.578,16.769,2.667,1.055,18.779,2.372,2.497,4.269,3.734,3.441,7.617,7.200,8.595,2.066,3.758,1.094
42,7.962,4.555,1.593,2.691,14.919,2.704,0.995,15.122,0.300,2.449,4.162,3.027,3.395,6.001,6.361,7.739,2.066,1.990,0.375
43,10.925,5.541,1.961,3.081,16.643,3.429,1.541,20.118,1.885,1.855,3.377,2.527,3.286,7.260,8.038,8.188,2.066,3.080,1.515
44,10.569,5.155,1.734,3.005,15.718,3.455,1.088,19.056,2.372,2.909,3.746,3.335,3.059,6.772,7.089,7.838,2.066,3.684,1.129
45,10.308,5.505,2.266,4.512,17.807,3.519,1.220,20.705,3.591,2.693,4.807,3.664,3.244,7.777,7.327,8.948,2.066,3.266,1.121
46,12.022,6.070,2.128,3.707,18.046,3.429,0.578,22.475,2.308,2.431,4.302,3.785,3.323,8.342,7.591,8.835,2.066,3.809,1.635
47,9.887,5.184,2.817,2.645,15.580,2.774,1.195,18.960,1.966,2.611,1.201,2.888,2.847,7.168,7.108,7.460,2.066,2.647,1.161
48,8.941,4.890,2.497,2.817,15.814,3.131,0.891,18.972,1.716,2.858,4.205,3.073,3.713,6.910,7.002,8.108,2.066,2.604,1.812
49,11.297,5.540,1.062,2.411,16.554,3.821,1.308,21.689,3.134,2.405,5.072,2.869,3.146,7.596,7.498,8.930,2.066,3.523,1.664
50,10.070,4.928,2.259,2.865,15.789,2.559,0.640,13.124,2.547,2.013,3.881,2.876,2.892,6.353,7.118,7.387,2.066,2.769,0.640
51,11.381,5.496,2.156,3.555,17.023,3.424,1.293,22.003,2.169,2.560,4.775,3.304,3.604,7.863,7.348,9.062,2.066,4.652,1.006
52,11.004,5.834,2.631,4.257,15.798,3.979,1.621,21.037,1.966,2.463,4.195,3.464,3.268,7.047,7.561,9.012,2.066,4.065,1.279
53,12.167,6.323,3.063,4.025,18.545,4.000,1.412,22.361,3.940,2.709,4.525,3.713,3.465,8.533,7.507,8.915,2.066,3.855,1.556
54,8.015,4.347,2.675,5.333,14.440,2.709,0.995,18.472,0.666,0.535,6.304,5.023,3.573,6.560,5.509,7.755,2.066,1.702,1.411
55,12.237,5.986,0.939,2.569,15.763,2.085,1.412,20.290,4.201,2.076,5.211,2.663,2.854,6.617,8.283,9.305,2.066,4.253,1.523
56,8.371,3.538,0.667,1.674,16.810,4.026,0.578,17.964,2.982,2.272,4.587,2.663,3.391,6.444,5.012,8.049,2.066,2.443,1.411
57,11.413,5.628,2.864,4.357,16.593,2.837,1.412,17.213,3.591,1.219,4.248,3.372,2.486,5.785,7.506,7.957,2.066,3.619,0.776
58,9.908,5.693,3.337,2.802,19.907,4.986,1.621,27.018,0.544,3.933,4.129,3.879,5.339,8.894,7.885,10.804,2.066,6.079,1.502
59,13.188,4.081,2.934,2.652,17.735,4.672,0.578,23.919,2.015,4.221,3.338,4.165,4.166,7.596,2.111,9.308,2.066,3.989,0.686
60,10.423,5.420,2.349,3.179,17.666,3.936,1.147,18.193,2.494,2.792,4.679,3.644,3.752,7.278,7.381,8.511,2.066,3.545,1.114
61,12.969,6.140,2.531,3.691,17.124,4.816,0.578,22.900,1.763,2.820,3.770,3.437,4.748,7.576,7.503,9.763,2.066,3.550,1.411
62,5.344,0.149,0.535,3.062,11.670,4.414,1.058,15.627,2.015,0.485,4.047,2.163,2.596,6.218,7.052,5.234,2.066,2.617,1.085
63,11.833,4.517,2.934,2.050,18.693,1.999,1.058,20.303,2.015,2.353,4.920,1.662,2.596,7.075,6.340,7.950,2.066,2.029,1.085
64,4.799,4.081,2.052,5.059,14.973,2.482,0.235,16.933,3.591,1.419,3.338,3.038,0.982,5.570,8.454,6.572,2.066,3.989,1.085
65,10.078,4.639,2.027,3.466,16.909,3.110,1.058,19.472,3.591,2.976,2.548,4.594,2.886,7.927,7.067,7.898,2.066,1.993,0.686
66,5.344,4.408,1.120,5.059,13.256,4.414,1.058,13.871,6.029,2.042,0.235,3.164,3.062,3.949,6.551,5.234,2.066,1.245,1.085
68,6.889,4.081,0.513,0.546,15.545,3.896,0.995,17.363,2.372,2.353,3.338,0.160,3.350,7.532,6.692,6.642,2.066,1.793,1.411
69,12.118,6.106,2.052,2.050,15.721,2.602,0.578,19.367,2.015,2.042,4.047,3.498,4.210,7.943,4.754,10.698,2.066,2.617,0.686
70,10.583,5.063,4.143,2.050,14.943,2.904,1.058,22.232,3.591,2.353,4.920,3.831,2.482,7.144,6.868,7.731,2.066,3.566,2.863
73,14.614,7.638,2.934,4.056,19.860,4.414,1.058,20.173,2.015,2.353,4.047,4.165,5.107,9.352,9.247,10.395,2.066,5.361,2.863
